Feature,Importance
TLD_ie,0.0
TLD_il,0.0
TLD_im,0.0
TLD_immo,0.0
TLD_in,0.0
TLD_industries,0.0
TLD_info,0.0
TLD_ink,0.0
TLD_institute,0.0
TLD_int,0.0
TLD_international,0.0
TLD_investments,0.0
TLD_io,0.0
TLD_iq,0.0
TLD_ir,0.0
TLD_is,0.0
TLD_ist,0.0
TLD_istanbul,0.0
TLD_it,0.0
TLD_je,0.0
TLD_jm,0.0
TLD_jo,0.0
TLD_jobs,0.0
TLD_jp,0.0
TLD_ke,0.0
TLD_kg,0.0
TLD_kh,0.0
TLD_ki,0.0
TLD_kim,0.0
TLD_kitchen,0.0
TLD_kiwi,0.0
TLD_kn,0.0
TLD_koeln,0.0
TLD_kr,0.0
TLD_krd,0.0
TLD_kred,0.0
TLD_kw,0.0
TLD_ky,0.0
TLD_kz,0.0
TLD_la,0.0
TLD_land,0.0
TLD_land:443,0.0
TLD_lat,0.0
TLD_law,0.0
TLD_lb,0.0
TLD_lc,0.0
TLD_legal,0.0
TLD_lgbt,0.0
TLD_li,0.0
TLD_life,0.0
TLD_lighting,0.0
TLD_limited,0.0
TLD_limo,0.0
TLD_link,0.0
TLD_live,0.0
TLD_lk,0.0
TLD_loan,0.0
TLD_lol,0.0
TLD_london,0.0
TLD_love,0.0
TLD_lr,0.0
TLD_ls,0.0
TLD_lt,0.0
TLD_ltd,0.0
TLD_lu,0.0
TLD_lundbeck,0.0
TLD_lv,0.0
TLD_ly,0.0
TLD_ma,0.0
TLD_madrid,0.0
TLD_maison,0.0
TLD_makeup,0.0
TLD_management,0.0
TLD_market,0.0
TLD_marketing,0.0
TLD_markets,0.0
TLD_mba,0.0
TLD_mc,0.0
TLD_md,0.0
TLD_me,0.0
TLD_media,0.0
TLD_menu,0.0
TLD_mg,0.0
TLD_miami,0.0
TLD_mil,0.0
TLD_mk,0.0
TLD_ml,0.0
TLD_mm,0.0
TLD_mma,0.0
TLD_mn,0.0
TLD_mo,0.0
TLD_mobi,0.0
TLD_moe,0.0
TLD_mom,0.0
TLD_money,0.0
TLD_monster,0.0
TLD_mortgage,0.0
TLD_moscow,0.0
TLD_movie,0.0
TLD_mp,0.0
TLD_mq,0.0
TLD_mr,0.0
TLD_ms,0.0
TLD_mt,0.0
TLD_mu,0.0
TLD_museum,0.0
TLD_mv,0.0
TLD_mw,0.0
TLD_mx,0.0
TLD_my,0.0
TLD_mz,0.0
TLD_na,0.0
TLD_nagoya,0.0
TLD_name,0.0
TLD_navy,0.0
TLD_nc,0.0
TLD_ne,0.0
TLD_net,0.0
TLD_network,0.0
TLD_neustar,0.0
TLD_news,0.0
TLD_nf,0.0
TLD_ng,0.0
TLD_ngo,0.0
TLD_ni,0.0
TLD_ninja,0.0
TLD_nl,0.0
TLD_no,0.0
TLD_np,0.0
TLD_nr,0.0
TLD_nrw,0.0
TLD_ntt,0.0
TLD_nu,0.0
TLD_nyc,0.0
TLD_nz,0.0
TLD_om,0.0
TLD_one,0.0
TLD_online,0.0
TLD_ooo,0.0
TLD_org,0.0
TLD_ovh,0.0
TLD_pa,0.0
TLD_page,0.0
TLD_paris,0.0
TLD_parts,0.0
TLD_party,0.0
TLD_pe,0.0
TLD_pet,0.0
TLD_pf,0.0
TLD_pg,0.0
TLD_ph,0.0
TLD_photo,0.0
TLD_photography,0.0
TLD_photos,0.0
TLD_pics,0.0
TLD_pink,0.0
TLD_pk,0.0
TLD_pl,0.0
TLD_pl:443,0.0
TLD_place,0.0
TLD_plus,0.0
TLD_pm,0.0
TLD_pn,0.0
TLD_post,0.0
TLD_press,0.0
TLD_pro,0.0
TLD_promo,0.0
TLD_ps,0.0
TLD_pt,0.0
TLD_pub,0.0
TLD_pw,0.0
TLD_py,0.0
TLD_qa,0.0
TLD_quest,0.0
TLD_racing,0.0
TLD_radio,0.0
TLD_re,0.0
TLD_recipes,0.0
TLD_red,0.0
TLD_rentals,0.0
TLD_repair,0.0
TLD_report,0.0
TLD_rest,0.0
TLD_review,0.0
TLD_reviews,0.0
TLD_rip,0.0
TLD_ro,0.0
TLD_rocks,0.0
TLD_rs,0.0
TLD_ru,0.0
TLD_rugby,0.0
TLD_ruhr,0.0
TLD_run,0.0
TLD_rw,0.0
TLD_sa,0.0
TLD_salon,0.0
TLD_sb,0.0
TLD_sbs,0.0
TLD_sc,0.0
TLD_school,0.0
TLD_schule,0.0
TLD_science,0.0
TLD_scot,0.0
TLD_sd,0.0
TLD_se,0.0
TLD_services,0.0
TLD_sexy,0.0
TLD_sg,0.0
TLD_sh,0.0
TLD_sharp,0.0
TLD_shoes,0.0
TLD_shop,0.0
TLD_show,0.0
TLD_si,0.0
TLD_site,0.0
TLD_sk,0.0
TLD_ski,0.0
TLD_skin,0.0
TLD_sm,0.0
TLD_sn,0.0
TLD_so,0.0
TLD_social,0.0
TLD_software,0.0
TLD_solutions,0.0
TLD_soy,0.0
TLD_space,0.0
TLD_sport,0.0
TLD_sr,0.0
TLD_ss,0.0
TLD_st,0.0
TLD_store,0.0
TLD_stream,0.0
TLD_studio,0.0
TLD_study,0.0
TLD_su,0.0
TLD_supply,0.0
TLD_support,0.0
TLD_sv,0.0
TLD_swiss,0.0
TLD_sx,0.0
TLD_sy,0.0
TLD_systems,0.0
TLD_sz,0.0
TLD_taipei,0.0
TLD_tatar,0.0
TLD_tattoo,0.0
TLD_tax,0.0
TLD_taxi,0.0
TLD_tc,0.0
TLD_team,0.0
TLD_tech,0.0
TLD_technology,0.0
TLD_tel,0.0
TLD_tf,0.0
TLD_tg,0.0
TLD_th,0.0
TLD_theater,0.0
TLD_tips,0.0
TLD_tirol,0.0
TLD_tj,0.0
TLD_tk,0.0
TLD_tl,0.0
TLD_tm,0.0
TLD_tn,0.0
TLD_to,0.0
TLD_today,0.0
TLD_tokyo,0.0
TLD_tools,0.0
TLD_top,0.0
TLD_tours,0.0
TLD_town,0.0
TLD_toys,0.0
TLD_tr,0.0
TLD_trade,0.0
TLD_trading,0.0
TLD_training,0.0
TLD_travel,0.0
TLD_tt,0.0
TLD_tv,0.0
TLD_tw,0.0
TLD_tz,0.0
TLD_ua,0.0
TLD_ug,0.0
TLD_uk,0.0
TLD_uno,0.0
TLD_us,0.0
TLD_uy,0.0
TLD_uz,0.0
TLD_va,0.0
TLD_vc,0.0
TLD_ve,0.0
TLD_vegas,0.0
TLD_ventures,0.0
TLD_vet,0.0
TLD_vg,0.0
TLD_vi,0.0
TLD_video,0.0
TLD_vip,0.0
TLD_vlaanderen,0.0
CharContinuationRate,0.0
TLD_vote,0.0
TLD_vu,0.0
TLD_wales,0.0
TLD_watch,0.0
TLD_weber,0.0
TLD_website,0.0
TLD_wf,0.0
TLD_wiki,0.0
TLD_win,0.0
TLD_wine,0.0
TLD_work,0.0
TLD_works,0.0
TLD_world,0.0
TLD_ws,0.0
TLDLength,0.0
URLCharProb,0.0
TLD_xn--90ais,0.0
TLD_xn--c1avg,0.0
TLD_xn--mk1bu44c,0.0
TLD_xn--p1acf,0.0
TLD_xn--p1ai,0.0
TLD_xyz,0.0
TLD_yachts,0.0
TLD_ye,0.0
TLD_yoga,0.0
TLD_youtube,0.0
TLD_yt,0.0
TLD_za,0.0
TLD_zm,0.0
TLD_zone,0.0
LargestLineLength,0.0
